timestamp,PV5,PV5_a,PV5_b,PV5_c
2026-01-01 00:00:00,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,10.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
2026-01-01 07:00:00,40.0,13.333333333333334,13.333333333333334,13.333333333333334
2026-01-01 08:00:00,90.0,30.0,30.0,30.0
2026-01-01 09:00:00,150.0,50.0,50.0,50.0
2026-01-01 10:00:00,210.0,70.0,70.0,70.0
2026-01-01 11:00:00,245.0,81.66666666666667,81.66666666666667,81.66666666666667
2026-01-01 12:00:00,260.0,86.66666666666667,86.66666666666667,86.66666666666667
2026-01-01 13:00:00,250.0,83.33333333333333,83.33333333333333,83.33333333333333
2026-01-01 14:00:00,215.0,71.66666666666667,71.66666666666667,71.66666666666667
2026-01-01 15:00:00,160.0,53.333333333333336,53.333333333333336,53.333333333333336
2026-01-01 16:00:00,95.0,31.666666666666668,31.666666666666668,31.666666666666668
2026-01-01 17:00:00,40.0,13.333333333333334,13.333333333333334,13.333333333333334
2026-01-01 18:00:00,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667
2026-01-01 19:00:00,0.0,0.0,0.0,0.0
2026-01-01 20:00:00,0.0,0.0,0.0,0.0
2026-01-01 21:00:00,0.0,0.0,0.0,0.0
2026-01-01 22:00:00,0.0,0.0,0.0,0.0
2026-01-01 23:00:00,0.0,0.0,0.0,0.0
