timestamp,Pbus_001_a,Qbus_001_a,Pbus_001_b,Qbus_001_b,Pbus_001_c,Qbus_001_c,Pbus_002_a,Qbus_002_a,Pbus_002_b,Qbus_002_b,Pbus_002_c,Qbus_002_c,Pbus_003_a,Qbus_003_a,Pbus_003_b,Qbus_003_b,Pbus_003_c,Qbus_003_c,Pbus_004_a,Qbus_004_a,Pbus_004_b,Qbus_004_b,Pbus_004_c,Qbus_004_c,Pbus_005_a,Qbus_005_a,Pbus_005_b,Qbus_005_b,Pbus_005_c,Qbus_005_c
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.16,35.0,11.514999999999999,25.0,8.225,20.0,6.575,36.0,11.835,24.0,7.89,14.4,4.74,21.599999999999998,7.109999999999999,36.0,11.85,27.0,8.865,15.0,4.925,18.0,5.909999999999999
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.840000000000002,31.499999999999996,10.36,22.5,7.4,18.0,5.925,32.4,10.665,21.599999999999998,7.109999999999999,12.96,4.260000000000001,19.439999999999998,6.39,32.4,10.65,24.3,7.965,13.5,4.425,16.2,5.31
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.16,29.749999999999996,9.764999999999999,21.25,6.975,17.0,5.6,30.6,10.08,20.4,6.72,12.240000000000002,4.0200000000000005,18.36,6.03,30.6,10.05,22.95,7.5600000000000005,12.75,4.2,15.299999999999999,5.04
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,33.0,10.840000000000002,28.874999999999996,9.485,20.625,6.775,16.5,5.425,29.7,9.765,19.8,6.51,11.88,3.9000000000000004,17.82,5.85,29.7,9.75,22.275000000000002,7.335000000000001,12.375,4.075,14.85,4.89
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.520000000000001,30.624999999999996,10.08,21.875,7.2,17.5,5.75,31.5,10.35,21.0,6.8999999999999995,12.600000000000001,4.14,18.9,6.21,31.5,10.35,23.625,7.785,13.125,4.325,15.75,5.19
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,42.0,13.8,36.75,12.075,26.25,8.625,21.0,6.9,37.800000000000004,12.420000000000002,25.2,8.28,15.12,4.960000000000001,22.679999999999996,7.4399999999999995,37.8,12.4,28.35,9.315,15.75,5.175,18.9,6.21
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,55.0,18.080000000000002,48.125,15.82,34.375,11.3,27.5,9.05,49.5,16.290000000000003,33.0,10.860000000000001,19.8,6.5,29.7,9.75,49.5,16.25,37.125,12.195,20.625,6.775,24.75,8.13
2026-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,61.24999999999999,20.125,43.75,14.375,35.0,11.5,63.0,20.7,42.0,13.799999999999999,25.200000000000003,8.28,37.8,12.42,63.0,20.7,47.25,15.525,26.25,8.625,31.5,10.35
2026-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,78.0,25.64,68.25,22.434999999999995,48.75,16.025,39.0,12.825,70.2,23.085,46.8,15.389999999999999,28.080000000000002,9.22,42.12,13.83,70.2,23.05,52.65,17.325,29.25,9.625,35.1,11.549999999999999
2026-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,72.0,23.680000000000003,62.99999999999999,20.72,45.0,14.8,36.0,11.825,64.8,21.285,43.199999999999996,14.19,25.92,8.520000000000001,38.879999999999995,12.78,64.8,21.3,48.6,15.975,27.0,8.875,32.4,10.65
